	Motif_ID	TF_Names
811	M07571_2.00	Zfp184
812	M07578_2.00	Zfp13
813	M07584_2.00	Zfp317
814	M07589_2.00	Zfp189
815	M07590_2.00	Zfp287
816	M07595_2.00	Rbak
817	M07602_2.00	Zkscan6
818	M07609_2.00	Zkscan17
819	M07613_2.00	Zfp113
820	M07615_2.00	Zfp641
821	M07620_2.00	Zfp558
822	M07622_2.00	Zfp354a
823	M07625_2.00	Zfp212
824	M07633_2.00	Zik1
825	M07653_2.00	Zfp354b
826	M07672_2.00	Zfp90
827	M07677_2.00	Zfp566
828	M07686_2.00	Zfp69
829	M07689_2.00	Zfp383
830	M07716_2.00	Zfp398
831	M07739_2.00	Zfp248
832	M07766_2.00	Zfp879
833	M07780_2.00	Zfp661
834	M07926_2.00	Bcl11a
835	M08020_2.00	Thap1
836	M08021_2.00	Klf4
837	M08022_2.00	Ctcf
838	M08023_2.00	Gli3
839	M08024_2.00	Bcl6
840	M08025_2.00	Zfp281
841	M08027_2.00	Spi1
842	M08029_2.00	Tcfcp2l1
843	M08030_2.00	Tcfcp2l1
844	M08031_2.00	Pou5f1
845	M08032_2.00	Pou5f1
846	M08033_2.00	Pou5f1
847	M08034_2.00	Esrrb
848	M08038_2.00	Rela
849	M08039_2.00	Rela
850	M08040_2.00	Sox17
851	M08041_2.00	Sox2
852	M08042_2.00	Sox2
853	M08043_2.00	Stat3
854	M08044_2.00	Tbx2
855	M08060_2.00	Myod1
856	M08061_2.00	Myog
857	M08062_2.00	Tcf12
858	M08077_2.00	Nfe2l2
